,questions,labbel
2879,через как абонемент пунк лучш еха есл выезжа с одесс на такс объясн пожалуйст,best_border
2880,через как таможн еха,best_border
2881,подскаж пожалуйстакуд пода от паланк на румын как кпп не забит и дорог ноч можн проеха,best_border
2882,через молдавию в румынию пустят и какие документы нужны два кота кобель,animals
2883,Были ли у кого проблемы провезти кота в перевозке,animals
2884,Как принять ночлег,dwelling
2885,скаж где можн снят хостел в кишинев,dwelling
2886,есть семья   детей и   взрослых которой сверх меры нужна помощь   они доехали до тараклии машина сломалась не могу оттуда уехать дальше   возможно есть кто-то кто сможет помочь им там с жильем или подвести их до ближайших доступных пунктов помощи,dwelling
2887,на как таможн еха с хмельницк област где меньш люд,best_border
2888,добр ден подскаж пожалуйст на как пункт лучш отправ есл еха сквозь новоднестровск,best_border
2889,по каким томожням возможно попасть в молдове из киева,best_border
2890,здравствуйте семья взрослых    детей подьезжаем к границе молдавии   если получится пересечь границу чрезмерно хотим попросить о ночлеге может кто-то может помочь,dwelling
2891,Где возможно выискать ночлег,dwelling
2892,сердечный деньа как на пропускных пунктах тудора и паланкапропускают без проблем,border_situation
2893,добрый вечер есть сообщение какая очеред на рени спасибо,border_situation
2894,благодушный день подскажите как нынче в тудорах много машин,border_situation
2895,Как принять ночлег,dwelling
2896,Ищу жильё для семьи,dwelling
2897,Хочу забрать котов невакцинированных пропустят ли их,animals
2898,Подскажите где возможно снять жильё,dwelling
2899,раз у кого питаться квартира в кишеневе на сдачу семье из   человек напишите в личку пожалуйста   комнаты бюджет - в месяц,dwelling
2900,ребят подскажите на какую границу лучше ехать сейчас с молдовой,best_border
2901,у ког можн снят квартир для сем на нескольк дне,dwelling
2902,💥💥💥кишинёв-паланка.... нужно забрать одеяла в кишинёве отвезти на границу!!,other
2903,через какое кпп лучше ехать если выезжаешь с одессы на такси объясните пожалуйста,best_border
2904,как ситуация на паланке,border_situation
2905,ласковый день подскажите как сегодня в тудорах много машин,border_situation
2906,добр вечер мо мам и брат едут машин к пропускн пункт могилев - подольск может ли кто - т в ближайш от нег город предлож им жил до рассвет документ все при себ имеют спасиб,dwelling
2907,Псов без документов пускают,animals
2908,кто знает как обстановка на кучурганах и кудой лучше ехать,border_situation
2909,все про паланку пишут а что-то слышно про пункт станиславка там есть волонтеры какие - тоесли буду ехать то через этот пункт так как ближе всего я с ребёнком   лет если есть хоть какая-то весть напишите пожалуйста,border_situation
2910,добр вечер мо мам и брат едут машин к пропускн пункт могилев - подольск может ли кто - т в ближайш от нег город предлож им отел до рассвет документ все при себ имеют спасиб,dwelling
2911,скажитеа как в могилёв - подольском избыточно большая очередь,border_situation
2912,в кишин хот снят апартамент ил жил взросл и дет,dwelling
2913,как арендова квартир в кишенев,dwelling
2914,У кого возможно снять квартиру в Кишиневе для семьи из   человек,dwelling
2915,Нужны ли иметь собаки прививки чтобы пустили в страну,animals
2916,Можно ли в Молдову провезти кота без прививок,animals
2917,через какое кпп лучше ехать когда выезжаешь с одессы на такси объясните пожалуйста,best_border
2918,Помогите пожалуйста нужна квартира в кишиневе,dwelling
2919,Каке документы проверяют у животных,animals
2920,Добрый день кто сдаст -вух комнатную квартиру в кишиневе,dwelling
2921,сним гостиниц на сутк в могилев - подольск с животн,dwelling
2922,"слава україні! 
друзі, потрібно забрати одну дівчинку , з мінімум одягу, сьогодні або завтра вранці, з києва в сторону тернопіль (франик, львів) 
можливо хтось має місце, знайомих які будуть їхати?
не безкоштовно.",other
2923,подскажите пожалуйста какая ситуация в крива - мэмэлига,border_situation
2924,Ищу квартиру в аренду,dwelling
2925,на какой границе меньше людей   подскажите пожалуйста и где пропускают   молдова,best_border
2926,есть семья   детей и   взрослых которой крайне нужна помощь   они доехали до тараклии машина сломалась не могу оттуда уехать дальше   возможно есть кто-то кто сможет помочь им там с жильем или подвести их до ближайших доступных пунктов помощи,dwelling
2927,подскажите пожалуйста какая ситуация в черновцах черезна границе,border_situation
2928,добр утр кто подскажет по довод сдач хостел в кишенев куд лучш обраща где иска родител вчер бежа в кишен пок что в помещен для времен размещен беженц,dwelling
2929,как сейчас обсто на абонемент пунк старокозач,border_situation
2930,можн ли зайт через таможн с животн без документ,animals
2931,здравствуйте кто знает как обстановка на кпп в окнице,border_situation
2932,подскажите из винницы в молдову как попасть быстрее и безопаснее всего до границы и какие очереди где интересуют атаки и сокиряны,border_situation
2933,На котов тоже надо документов,animals
2934,кто знает какие очереди мамалыга бричаны,border_situation
2935,Где раскопать дом в кишиневе,dwelling
2936,"подскажите по поводу купонов на продукты, есть такие? слышала, но найти не можем",other
2937,Нужна жильё для семьи кто может пособить,dwelling
2938,здравствуйтеможет кто знает как обстоят дела на таможне атаки - могилев - подольск,border_situation
2939,скаж пожалуйст на как пропускн пункт молдов лучш еха где меньш очеред беремен женщин с трехлетн ребенк,best_border
2940,добр вечер мо мам и брат едут машин к пропускн пункт могилев - подольск может ли кто - т в ближайш от нег город предлож им апартамент до рассвет документ все при себ имеют спасиб,dwelling
2941,где можн найт квартир,dwelling
2942,где можн найт дом,dwelling
2943,Нужна весть какая лучше граница для пересечений,best_border
2944,"в румынию пускает мужчин, но нужно дать взятку на таможне.",other
2945,в румынию выпускают из молдовы ?,other
2946,подскаж как обсто дел на пункт мамалыг,border_situation
2947,какая граница не излишне перегруженная в сторону молдавии если ехать с киева,best_border
2948,у ког можн снят отел в кишинев на нескольк дне,dwelling
2949,подскаж кпп пропуск сокиря на машин можн пересеч и как очеред,border_situation
2950,мерси огромноено на какую таможню лучше из одессы ехать,best_border
2951,подскажите где меньше пробки для аато ежели ехать из чернрвцов румыния или молдова какой пункт,best_border
2952,где найт гостиниц в кишинев,dwelling
2953,свободн жил в кишинев ест срочно,dwelling
2954,чи пропустять чоловіка одного з трома дітьми??,other
2955,подскаж пожалуйстакуд пода от паланк на румын как таможн не забит и дорог ноч можн проеха,best_border
2956,добр ден кто знает где найт ночлег,dwelling
2957,Подскажите как раскопать место где можно переночевать в Кишиневе,dwelling
2958,Хотим попросить об квартире,dwelling
2959,да где пропускают с животными нет паспортов и чипов как провести не кидать же детки везут,animals
2960,Не хочу оставить своих пушистых какие условия нужны чтобы пересечь границу с котами,animals
2961,подскаж как абонемент пунк лучш еха с одесс чтоб не нарва на неприятн по дорог,best_border
2962,С котами можно въехать,animals
2963,можно ли выехать завтра через границе молдовы или румынии   и есть собака   нужны документы или могут без документов выпустить собаку,animals
2964,в кишин хот снят апартамент ил отел взросл и дет,dwelling
2965,Ищу квартиру сегодня в Кишиневе,dwelling
2966,здравствуйте семья взрослых    детей подьезжаем к границе молдавии   если получится пересечь границу чересчур хотим попросить о ночлеге может кто-то может помочь,dwelling
2967,с молдовы на румынию как обстановка сейчас на границах через что лучше ехать,border_situation
2968,Как забрать животных с собой,animals
2969,помог пожалуйст нуж хостел в кишинев,dwelling
2970,Если у моей собаки нету пасспорта её пропустят,animals
2971,Как относятся погран служба к животным,animals
2972,ест очеред на таможн мамалиг как ситуац,border_situation
2973,подскаж как таможн лучш еха с одесс чтоб не нарва на неприятн по дорог,best_border
2974,на как границ еха с хмельницк област где меньш люд,best_border
2975,Как взять ночлег,dwelling
2976,"кто-то знает что идёт с одессы в кишинёв?
напишите пожалуйста в личку❤️❤️❤️",other
2977,У кота нет документов пустят ли его сквозь границу,animals
2978,Ребята какие документы нужны для собаки,animals
2979,питаться очередь на кпп мамалига какая ситуация,border_situation
2980,сквозь как таможн лучш еха есл выезжа с одесс на такс объясн пожалуйст,best_border
2981,Куда лучше пойти пешком,best_border
2982,помог пожалуйст нуж хостел в кишинев,dwelling
2983,могил откр пропускной пункт таможн как там ситуац,border_situation
2984,Нужна весть какая лучше граница для пересечений,best_border
2985,на как проездной пунк еха с хмельницк област где меньш люд,best_border
2986,"ребята, кто в кишинёв едет - заберите меня с котом из киева. я заплачу любые деньги",other
2987,Может кто-то сможет помочь с жильём,dwelling
2988,подскаж пожалуйст как обсто дел на пропускной пункт паланк на дан миг есл еха из одесс то лучш через паланк ил друг пункт болград рен ещ какой - т,best_border
2989,На каком сайте можно снять жильё беженцам,dwelling
2990,скажитеа как в могилёв - подольском весьма большая очередь,border_situation
2991,подскаж где меньш пробк для аат есл еха из чернрвц румын ил молдов как проездной пунк,best_border
2992,куд в кишинев обращат чтоб получ дом,dwelling
2993,коль выезжать из одессы какие таможни молдовы более свободны или если через паланку сколько по времени уходит на очереди,best_border
2994,есть семья   детей и   взрослых которой изрядно нужна помощь   они доехали до тараклии машина сломалась не могу оттуда уехать дальше   возможно есть кто-то кто сможет помочь им там с жильем или подвести их до ближайших доступных пунктов помощи,dwelling
2995,кто сдаст квартир в кишинев,dwelling
2996,как найт квартир в кишинев на нескольк дне,dwelling
2997,на как проездной пунк еха с хмельницк област где меньш люд,best_border
2998,как врем ожидан на границ атак сейчас,border_situation
2999,подскаж таможн пропуск сокиря на машин можн пересеч и как очеред,border_situation
3000,Можно ли в Молдову провезти кота без прививок,animals
3001,Как проехать с котами в Молдову,animals
3002,ищ ночлег чтоб переночева в кишинев кто может помоч,dwelling
3003,все про паланку пишут а что-то слышно про пункт станиславка там есть волонтеры какие - тоесли буду ехать то через этот пункт так как ближе всего я с ребёнком   лет если есть хоть какая-то известие напишите пожалуйста,border_situation
3004,Семья ищет в кишиневе квартиру в аренду посуточно,dwelling
3005,подскаж можн ли проех пункт с животн без паспорт животн и с ребенк без нотариальн разреш для выезд спасиб,animals
3006,доброжелательный день как найти жильё в кишеневе,dwelling
3007,какая положение на кучурган кто знает,border_situation
3008,подскажите пожалуйстакуда податься от паланки на румынию какое кпп не забито и дорога ночью можно проехать,best_border
3009,сним жил на сутк в могилев - подольск с животн,dwelling
3010,там же точно проблемы с логистикой,other
3011,благожелательный день как обстановка на паланке и староказачьем едем с одессы подскажите пожалуйста,best_border
3012,подскаж где меньш пробк для аат есл еха из чернрвц румын ил молдов как таможн,best_border
3013,если есть свидетельство о рождении то можно,other
3014,Не хочется бросать своих котов как их перевести через границу,animals
3015,подскажите как лучше проехать с черновцов через мамалыгу или через бричаны,best_border
3016,нежный свет подскажите как сегодня в тудорах много машин,border_situation
3017,Где лучше снять квартиру в Кишиневе,dwelling
3018,на как таможн еха с хмельницк област где меньш люд,best_border
3019,на как проездной пунк еха с хмельницк област где меньш люд,best_border
3020,какая граница не вельми перегруженная в сторону молдавии если ехать с киева,best_border
3021,кто может сдат ночлег в аренд,dwelling
3022,можн ли зайт через пункт с животн без документ,animals
3023,нету загран паспорта или просто паспорта?,other
3024,пожалуйст подскаж как пропускной пункт лучш еха,best_border
3025,Нужна информация какая лучше граница для пересечений,best_border
3026,здравствуйте семья взрослых    детей подьезжаем к границе молдавии   если получится пересечь границу слишком хотим попросить о ночлеге может кто-то может помочь,dwelling
3027,где можн найт апартамент,dwelling
3028,добр утр кто подскажет по повод сдач хостел в кишенев куд лучш обраща где иска родител вчер бежа в кишен пок что в помещен для времен размещен беженц,dwelling
3029,"ter apelervenen 3
9561 mc ter apel 
адрес для беженцев из украины в нидерланды . уже очень много людей поехали ,приезжайте ,они представляют кров и еду бесплатно ,в дальнейшем с видом на жительство .",other
3030,"женщин пропускаю , мужчин нет !",other
3031,добрый вечер есть известие какая очеред на рени спасибо,border_situation
3032,подскаж как обсто дел на таможн мамалыг,border_situation
3033,позвол ли на кпп пройт с нечипирова собак,animals
3034,добр день можн с маленьк собак проеха границ молдов без документ на собаку,animals
3035,кто может предлож жил,dwelling
3036,У кого можно снять дом для семьи на несколько дней,dwelling
3037,подскажите пожалуйста на какой границе в молдавию сейчас меньше всего очередь   пожалуйста нужно вывезти детей,best_border
3038,Как найти ночлег в Кишиневе,dwelling
3039,как найт ночлег в кишинев на нескольк дне,dwelling
3040,Хочу забрать кота без прививок как лучше это сделать,animals
3041,Подскажите как принять жильё в молдове,dwelling
3042,Где возможно поселится,dwelling
3043,где можн узна как обстановк пропускн кпп рен джурджулешт можн проеха,border_situation
3044,подскажите пожалуйста как обстановка возле рени,border_situation
3045,  человек из украины ищут жильё среди них дети и пожилые желательно все рядом большая семья кто может помочь,dwelling
3046,есть у кого-то где-то около тараклии жилье,dwelling
3047,по каким томожням можно попасть в молдове из киева,best_border
3048,ест очеред на карточка пунк мамалиг как ситуац,border_situation
3049,ищ жил сегодн в кишинев,dwelling
3050,у ког можн снят апартамент для сем на нескольк дне,dwelling
3051,росоша молдов нуж ночлег для сем в как ближн отел свободн спасиб,dwelling
3052,некто проезжал таможню джурджулешты как там обстановка,border_situation
3053,позвол ли на кпп пройт с нечипирова собак,animals
3054,все про паланк пишут а что - т слышн про проездной пунк станиславк там ест волонтер какие - тоесл буд еха то через этот пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
3055,Как зайти в молдову коли нет вакцин на котов,animals
3056,кто на границе коростено смольница как там обстановка,border_situation
3057,как обстановка в старо козачем паланка стоит,border_situation
3058,кто в курсе какая сейчас очередь на паланке для пешеходов спасибо,border_situation
3059,на паланке стоим я в положении й месяц большая очередь как ситуация на староказачем,border_situation
3060,какая граница не изрядно перегруженная в сторону молдавии если ехать с киева,best_border
3061,Нас   землянин надо отдохнуть в Кишиневе,dwelling
3062,как пункт лучш с сторон одес,best_border
3063,подскаж через как проездн пропускной пункт лучш пересека границ с молдав есл еха с западн украин плиз я девочк и вообщ не разбира,best_border
3064,пожалуйст подскаж как границ лучш еха,best_border
3065,Куда в Кишиневе обращатся чтобы принять ночлег,dwelling
3066,украинц с киев на как таможн ближ и безопасн,best_border
3067,ребята   как граница поланки и староказачье необычайно загружена,border_situation
3068,подскажите коль выезжать через платонове как приднестровье пропускает без проблем,border_situation
3069,можете проговорить какая сейчас ситуация по очередях машин на границе молдова - руминия липкани радауц прут,border_situation
3070,"кто в курсе что с границей станиславка -(рыбница )? пропускают ?
подскажите пожалуйста",other
3071,какая обстановка на кучурганах,border_situation
3072,есть информация сейчас какая обстановка на границе в атачь   с той стороны большая очередь  ,border_situation
3073,подскаж как найт жил в кишинев,dwelling
3074,Извините кто знает ежели пропустят с животными без пасспорта,animals
3075,кто может предлож гостиниц,dwelling
3076,Девушка срочно ищет жильё,dwelling
3077,подскаж кто сдает квартир мы с маленьк ребенк,dwelling
3078,или с другой женщиной,other
3079,  ребёнка и   взрослых в тараклии или около есть кто-то кто хотел невдалеке помочь жильём,dwelling
3080,можн пересеч таможн молдав с румын пешк есл да то как кпп,border_situation
3081,благодушный день подскажите как сегодня в тудорах много машин,border_situation
3082,через какое кпп лучше ехать коль выезжаешь с одессы на такси объясните пожалуйста,best_border
3083,как арендова дом в кишенев,dwelling
3084,добр ден подскаж пожалуйст на как пропускной пункт лучш отправ есл еха через новоднестровск,best_border
3085,добр утр где обращат чтоб получ апартамент,dwelling
3086,Кто может подсобить жильём,dwelling
3087,  человек из украины ищут жильё среди них дети и пожилые желательно все рядом большая семья кто может помочь,dwelling
3088,есть вероятность раскопать жильё в кишинёве для семьи   человек хотя бы на сутки - вторые,dwelling
3089,Скажите животных без документов пустят,animals
3090,как обстановка на пропуске в старокозачье,border_situation
3091,добрый вечер питаться знание какая очеред на рени спасибо,border_situation
3092,где сам близк ночлег,dwelling
3093,где можн найт отел,dwelling
3094,Как взять с собой животных без документов,animals
3095,подскажите где меньше пробки для аато если ехать из чернрвцов румыния или молдова какой пункт,best_border
3096,кто-то сейчас находится на границе могилёв - подольский как там обстановка,border_situation
3097,кто в курсе какая сейчас очередь на паланке для пешеходов спасибо,border_situation
3098,Нас   человек кто сдаст квартиру на несколько дней,dwelling
3099,У кого есть что-то близко кишинева чтобы жить,dwelling
3100,сним гостиниц на сутк в могилев - подольск с животн,dwelling
3101,"нужно жильё на одну ночь в районе бессарабки в молдове
пара и двое детей",other
3102,подскаж пожалуйст может кто - т ночлег сдат на мног спал ил у кого - т свободн номер - кишенев- окрестн,dwelling
3103,ищ жил чтоб переночева в кишинев кто может помоч,dwelling
3104,по каким томожням можно попасть в молдове из киева,best_border
3105,"!@
женщина с дочькой будут пересекать пеший могилёв-подольский кордон,
волонтёры молю ,кто там,выйдите на связь",other
3106,ребята подскажите как обстановка на кп серпневе и по дороге туда был ответ что невозможно так ли это спасибо,border_situation
3107,ребята из молдавий на машинах как обстановка на отаках,border_situation
3108,Можно ли заглянуть через кпп с животными без документов,animals
3109,реб как ест хорош вариант жил в кишинев,dwelling
3110,простите питаться паспорт у собаки но не международный пропустят да,animals
3111,извините есть паспорт у собаки но не международный пропустят да,animals
3112,Скажите пожалуйста где возможно перейти границу с животными,animals
3113,где сам близк гостиниц,dwelling
3114,Ищем где возможно пожить - дня в Кишиневе,dwelling
3115,кто в курсе как в отачь положение в нашу сторону друзья там с ночи стоят очередь фактически не движется,border_situation
3116,ест очеред на проездной пунк мамалиг как ситуац,border_situation
3117,у ког можн снят гостиниц для сем на нескольк дне,dwelling
3118,какие отели можете посоветовать   кишинёв,animals
3119,питаться кто-то на таможне в отаках какая там обстановка что нужно,border_situation
3120,сним хостел на сутк в могилев - подольск с животн,dwelling
3121,сним апартамент на сутк в могилев - подольск с животн,dwelling
3122,таможн старокозач ест ли какая - т инф очеред,border_situation
3123,пожалуйст подскаж как карточка пунк лучш еха,best_border
3124,подскажите пожалуйста какая ситуация на границе в мамалыге на сколько большие очереди,border_situation
3125,как врем ожидан на таможн атак сейчас,border_situation
3126,Пускают ли на паланке с котами без документов,animals
3127,кто может предлож хостел,dwelling
3128,Какая граница лучше если идти из одесы пешим путём,best_border
3129,кто сегодня проехал паланку кто на месте как обстановка выезжаем сейчас из одессы на своей машине,border_situation
3130,Кто уже прошел границу у вас были проблемы с животными без вакцин,animals
3131,Погран служба сосздают проблемы при переходе с котами,animals
3132,Люди которые уже пересекли границу вы смогли взять котов с собой,animals
3133,кто знает какая ситуация на границе сокиряни - окница,border_situation
3134,Люди собаку пустят в молдову,animals
3135,Если кот без документов его пустят в Молдову,animals
3136,кто сдаст дом в кишинев,dwelling
3137,"нет, тут супер. несколько машин впереди:",other
3138,подскаж можн ли проех карточка пунк с животн без паспорт животн и с ребенк без нотариальн разреш для выезд спасиб,animals
3139,Может кто знает праздный отель для заселения,dwelling
3140,есть сообщение сейчас какая обстановка на границе в атачь   с той стороны большая очередь  ,border_situation
3141,как пункт лучш с сторон одес,best_border
3142,Нужна информация какая лучше граница для пересечений,best_border
3143,Те кто уже прошли границу как вам удалось забрать с собой животных,animals
3144,украинц с киев на как кпп ближ и безопасн,best_border
3145,Извините кто знает когда пропустят с собакой,animals
3146,кто знает какая положение на леушанах,best_border
3147,подскажите из винницы в молдову как попасть быстрее и безопаснее только до границы и какие очереди где интересуют атаки и сокиряны,border_situation
3148,"посидите тут, найдёте и транспорт и жильё",other
3149,есть семья   детей и   взрослых которой чрезмерно нужна помощь   они доехали до тараклии машина сломалась не могу оттуда уехать дальше   возможно есть кто-то кто сможет помочь им там с жильем или подвести их до ближайших доступных пунктов помощи,dwelling
3150,кто в курсе как в отачь положение в нашу сторону друзья там с ночи стоят очередь фактически не движется,border_situation
3151,как сам небольш проездной пунк на молдов реальн на машин проеха,best_border
3152,"добрый день,  помогите выехать с киева в молдову или к границе,  левый берег.  1 девушка
пожалуйста 🙏🙏🙏  пешите в личку",other
3153,ребята подскажите как обстановка на кп серпневе и по дороге туда извините плиз коли дублирую не видела ответ,border_situation
3154,я имею ввиду что админы не успевают за всеми сообщениями,other
3155,позволят ли забрать с собой животных без вакцин,animals
3156,ласковый день подскажите как сегодня в тудорах много машин,border_situation
3157,сердечный вечер есть информация какая очеред на рени спасибо,border_situation
3158,мамалыга какая ситуация,border_situation
3159,"da, buted transport - ne perejivaete",other
3160,реб как ест хорош вариант дом в кишинев,dwelling
3161,есть знание сейчас какая обстановка на границе в атачь   с той стороны большая очередь  ,border_situation
3162,сним дом на сутк в могилев - подольск с животн,dwelling
3163,"не переживайте , пропустят",other
3164,все про паланк пишут а что - т слышн про проездной пунк станиславк там ест волонтер какие - тоесл буд еха то через этот пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
3165,сним апартамент на сутк в могилев - подольск с животн,dwelling
3166,друзья какие границы открыты со стороны одессы,best_border
3167,как лучше ехать через паланку или кучурганы,border_situation
3168,кто может предлож гостиниц,dwelling
3169,подскажите как найти где переночевать в кишеневе,dwelling
3170,как таможн лучш с сторон одес,best_border
3171,"здравствуйте,  кишинев. нужна квартира женщина с ребенком, пару недель, не бесплатно",other
3172,скажите пож про паланку сейчас   пешком как обстоят дела,border_situation
3173,Как зайти в молдову с собакой,animals
3174,Скажите где возможно найти ночлег в Кишиневе,dwelling
3175,Где самый ближний ночлег,dwelling
3176,ребята какие документы надо на собаку пустят с ротвейлером,animals
3177,Подскажите где выискать комнату в Кишиневе,dwelling
3178,кто может предлож апартамент,dwelling
3179,подскажите пожалуйста   как пускают в паланку с собакой нужны ли документы чип,animals
3180,как взять домашних питомцех с собой,animals
3181,скажите пожалуйста кто то меняет на паланке гривны на леи?,other
3182,пожалуйст подскаж как проездной пунк лучш еха,best_border
3183,"подскажите, с тернополя едут эвакуационные поезда?",other
3184,скаж где можн найт апартамент в кишинев,dwelling
3185,на планке достаточно машин? или ещё нужны?,other
3186,в кишин хот снят апартамент ил отел взросл и дет,dwelling
3187,⛔️⛔️⛔️⛔️⛔️⛔️⛔️⛔️таможня паланка-тудора транспорт с жилищем кому помочь ?⛔️‼️⁉️‼️‼️‼️ можем взять 7-8 человек !!! бесплатно ‼️‼️,other
3188,помог пожалуйст нуж ночлег в кишинев,dwelling
3189,Как не оставить своих животных и смог забрать их с собой,animals
3190,да,other
3191,через как границ лучш еха есл выезжа с одесс на такс объясн пожалуйст,best_border
3192,есть данные сейчас какая обстановка на границе в атачь   с той стороны большая очередь  ,border_situation
3193,какая граница не избыточно перегруженная в сторону молдавии если ехать с киева,best_border
3194,как таможня в молдове,border_situation
3195,украинц с киев на как границ ближ и безопасн,best_border
3196,ласковый день подскажите сквозь какой кпп лучше сейчас двигаться из молдовы в румынию спасибо,best_border
3197,бессарабка как очередь интересует пешеходная скажите пожалуйста,border_situation
3198,как проездной пунк лучш с сторон одес,best_border
3199,кучурган вроде закрыли,other
3200,ребят как пропускн пропускной пункт достаточно работа сегоднязавтр,best_border
3201,"кто едет сегодня из одессы до молдовы, нужно одно место для девушки! 🙏🏼",other
3202,подскажите пожалуйста какая ситуация на пункте пропуска староказачье много машин,border_situation
3203,Есть ли у кого-то возможность приютить нас,dwelling
3204,подскаж можн ли проеха границ с животн без паспорт животных и с ребенк без нотариальн разрешен для выезда спасиб,animals
3205,Извините кто знает когда пропустят с собакой,animals
3206,где можн снят апартамент для цел сем,dwelling
3207,напиш пожалуйст как ситуац в атак посл прохожден пункт в могилев сто ли перевозчик как посл таможн добра до кишинев две женщин и ребенок больш спасиб,border_situation
3208,подскажите пожалуйста какая положение в черновцах черезна границе,border_situation
3209,едем с одессы в молдавию подскажите какую границе быстрей маленький ребёнок с нами годик паланка много,best_border
3210,насколько большая очередь через паланкуесли переходить пешком,border_situation
3211,подскажите как ситуация на пункте могилёв - подольский или мамалыга очереди,border_situation
3212,кто сегодня проехал паланку кто на месте как обстановка выезжаем сейчас из одессы на своей машине,border_situation
3213,Извините кто знает коль пропустят с животными без пасспорта,animals
3214,Скажите где можно раскопать отель в кишиневе,dwelling
3215,у ког можн снят жил для сем на нескольк дне,dwelling
3216,подскажите пожалуйстакуда податься от паланки на румынию какое кпп не забито и дорога ночью можно проехать,best_border
